id,cntry_name,area,capname,caplong,caplat,gwcode,gwsdate,gwsyear,gwsmonth,gwsday,gwedate,gweyear,gwemonth,gweday,en_cntry_name,fr_cntry_name,de_cntry_name,fi_cntry_name
66,Estonia,49294.5,Tallinn,24.7281,59.4339,366,10.11.1918 23:00:00,1918,11,11,31.05.1940 23:00:00,1940,6,1,Estonia,Estonie,Estland,Viro
33,Burkina Faso (Upper Volta),272339,Ouagadougou,-1.52472,12.3703,439,28.02.1919 23:00:00,1919,3,1,03.09.1932 23:00:00,1932,9,4,Burkina Faso (Upper Volta),Burkina Faso (Haute-Volta),Burkina Faso (Obervolta),Burkina Faso (Ylä-Volta)
34,Burundi,27187.7,Bujumbura,29.36,-3.37611,516,30.06.1962 23:00:00,1962,7,1,30.12.2019 23:00:00,2019,12,31,Burundi,Burundi,Burundi,Burundi
35,Cambodia (Kampuchea),130258,Phnom Penh,104.917,11.55,811,31.12.1885 23:00:00,1886,1,1,01.10.1893 23:00:00,1893,10,2,Cambodia (Kampuchea),Cambodge (Kampuchea),Kambodscha (Kampuchea),Kambodža (Kamputsea)
36,Cameroon,423069,Yaounde,11.5167,3.86667,471,27.06.1919 23:00:00,1919,6,28,18.07.1922 23:00:00,1922,7,19,Cameroon,Cameroun,Kamerun,Kamerun
37,Canada,9553560,Ottawa,-75.69,45.4208,20,31.12.1885 23:00:00,1886,1,1,20.07.1948 23:00:00,1948,7,21,Canada,Canada,Kanada,Kanada
38,Cape Colony,600802,Cape Town,18.435,-33.92,561,31.12.1885 23:00:00,1886,1,1,14.11.1895 23:00:00,1895,11,15,Cape Colony,Cape Colony,Kap Kolonie,Cape Colony
39,Cape Verde,3997.48,Praia,-23.5167,14.9167,402,31.12.1885 23:00:00,1886,1,1,03.07.1975 23:00:00,1975,7,4,Cape Verde,Cap-Vert,Kap Verde,Kap Verde
40,Central African Republic,618631,Bangui,18.5829,4.36808,482,10.02.1906 23:00:00,1906,2,11,28.03.1912 23:00:00,1912,3,29,Central African Republic,Centrafricaine (République),Zentralafrikanische Republik,Keski-Afrikan tasavalta
41,Chad,1271910,N'Djamena,15.2167,11.7167,483,04.09.1900 23:00:00,1900,9,5,28.03.1912 23:00:00,1912,3,29,Chad,Tchad,Tschad,Tšad
42,Chile,746277,Santiago,-70.6667,-33.45,155,31.12.1885 23:00:00,1886,1,1,22.03.1899 23:00:00,1899,3,23,Chile,Chili,Chile,Chile
43,China,11146800,Beijing,116.388,39.9289,710,31.12.1885 23:00:00,1886,1,1,15.04.1895 23:00:00,1895,4,16,China,Chine,China,Kiina
44,Colombia,1167420,Bogota,-74.0833,4.6,100,31.12.1885 23:00:00,1886,1,1,01.11.1903 23:00:00,1903,11,2,Colombia,Colombie,Kolumbien,Kolumbia
45,Comoros,1701.11,Moroni,43.2403,-11.7042,581,26.10.1946 23:00:00,1946,10,27,04.07.1975 23:00:00,1975,7,5,Comoros,Comores,Komoren,Komorit
46,Congo,344022,Brazzaville,15.2847,-4.25917,484,31.12.1885 23:00:00,1886,1,1,12.06.1898 23:00:00,1898,6,13,Congo,Congo,Kongo,Kongo
47,"Congo, Democratic Republic of (Zaire)",2011840,Boma,13.05,-5.82999,490,31.12.1885 23:00:00,1886,1,1,23.05.1891 23:00:00,1891,5,24,"Congo, Democratic Republic of (Zaire)","Congo, République démocratique du (Zaïre)","Kongo, Demokratische Republik (Zaire)",Kongon demokraattinen tasavalta (Zaire)
48,Costa Rica,51054.7,San Jose,-84.0833,9.93333,94,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Costa Rica,Costa Rica,Costa Rica,Costa Rica
49,Cote D'Ivoire,321308,Grand Bassam,-3.74999,5.20039,437,09.01.1889 23:00:00,1889,1,10,08.03.1893 23:00:00,1893,3,9,Cote D'Ivoire,Côte d'Ivoire,Elfenbeinküste,Norsunluurannikko
50,Croatia,55833.9,Zagreb,15.9819,45.815,344,26.04.1992 22:00:00,1992,4,27,30.12.2019 23:00:00,2019,12,31,Croatia,Croatie,Kroatien,Kroatia
51,Cuba,109098,Havana,-82.3642,23.1319,40,31.12.1885 23:00:00,1886,1,1,08.12.1898 23:00:00,1898,12,9,Cuba,Cuba,Kuba,Kuuba
52,Cyprus,9128.4,Nicosia,33.3667,35.1667,352,04.11.1914 23:00:00,1914,11,5,14.08.1960 23:00:00,1960,8,15,Cyprus,Chypre,Zypern,Kypros
53,Czech Republic,78752.2,Prague,14.4667,50.0833,316,31.12.1992 23:00:00,1993,1,1,30.12.2019 23:00:00,2019,12,31,Czech Republic,République Tchèque,Tschechische Republik,Tšekin tasavalta
54,Czechoslovakia,140397,Prague,14.4667,50.0833,315,10.11.1918 23:00:00,1918,11,11,28.09.1938 23:00:00,1938,9,29,Czechoslovakia,Tchécoslovaquie,Tschechoslowakei,Tšekkoslovakia
55,Danzig,2037.8,Danzig,18.64,54.36,291,27.06.1919 23:00:00,1919,6,28,30.08.1938 23:00:00,1938,8,31,Danzig,Danzig,Danzig,Danzig
56,Denmark,38679.6,Copenhagen,12.567,55.677,390,31.12.1885 23:00:00,1886,1,1,08.02.1920 23:00:00,1920,2,9,Denmark,Danemark,Dänemark,Tanska
57,Djibouti,21433.1,Djibouti,43.1506,11.5704,522,31.12.1885 23:00:00,1886,1,1,22.01.1900 23:00:00,1900,1,23,Djibouti,Djibouti,Dschibuti,Djibouti
58,Dominican Republic,48313.9,Santo Domingo,-69.9,18.4667,42,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Dominican Republic,République Dominicaine,Dominikanische Republik,Dominikaaninen tasavalta
59,East Aden Protectorate,240812,Mukalla,49.1259,14.5412,6812,31.03.1937 23:00:00,1937,4,1,02.04.1962 23:00:00,1962,4,3,East Aden Protectorate,Protectorat d'Aden-Est,Protektorat Ost-Aden,Itä-Adenin protektoraatti
60,East Timor,15024.1,Dili,125.574,-8.55861,860,31.12.1885 23:00:00,1886,1,1,15.07.1976 23:00:00,1976,7,16,East Timor,Timor oriental,Osttimor,Itä-Timor
